,price
318,"$1,099,000"
319,"$799,000"
320,"$1,495,000"
321,"$2,095,000"
322,"$3,300,000"
323,"$819,000"
324,"$1,449,000"
325,"$998,000"
326,"$4,185,000"
327,"$995,000"
328,"$394,000"
329,"$400,000"
330,"$1,318,000"
331,"$998,000"
332,"$925,000"
333,"$625,000"
334,"$995,000"
335,"$5,250,000"
336,"$2,750,000"
337,"$868,000"
338,"$978,000"
339,"$799,000"
340,"$510,000"
341,"$400,000"
342,"$7,200,000"
343,"$729,000"
344,"$3,895,000"
345,"$1,825,000"
346,"$899,000"
347,"$4,645,000"
348,"$2,599,000"
349,"$680,000"
350,"$1,095,000"
351,"$3,500"
352,"$1,695,000"
353,"$799,000"
354,"$1,048,000"
355,"$1,995,000"
356,"$2,795,000"
357,"$2,995,000"
358,"$545,000"
359,"$575,000"
360,"$525,000"
361,"$2,195,000"
362,"$1,149,000"
363,"$1,695,000"
364,"$11,750,000"
365,"$995,000"
366,"$1,995,000"
367,"$949,000"
368,"$1,275,000"
369,"$1,150,000"
370,"$960,000"
371,"$565,000"
372,"$1,100,000"
373,"$715,000"
374,"$2,250,000"
375,"$300,000"
376,"$1,799,000"
377,"$789,900"
378,"$1,550,000"
379,"$1,050,000"
380,"$1,099,000"
381,"$799,000"
382,"$1,495,000"
383,"$2,095,000"
384,"$3,300,000"
385,"$819,000"
386,"$1,449,000"
387,"$998,000"
388,"$4,185,000"
389,"$995,000"
390,"$394,000"
391,"$400,000"
392,"$1,318,000"
393,"$998,000"
394,"$925,000"
395,"$625,000"
396,"$995,000"
397,"$5,250,000"
398,"$2,750,000"
399,"$868,000"
400,"$978,000"
401,"$799,000"
402,"$510,000"
403,"$400,000"
404,"$7,200,000"
405,"$729,000"
406,"$3,895,000"
407,"$1,825,000"
408,"$899,000"
409,"$4,645,000"
410,"$2,599,000"
411,"$680,000"
412,"$1,095,000"
413,"$3,500"
414,"$1,695,000"
415,"$799,000"
416,"$1,048,000"
417,"$1,995,000"
418,"$2,795,000"
419,"$2,995,000"
420,"$545,000"
421,"$575,000"
422,"$525,000"
423,"$2,195,000"
424,"$1,149,000"
425,"$1,695,000"
426,"$11,750,000"
427,"$995,000"
428,"$1,995,000"
429,"$949,000"
430,"$1,275,000"
431,"$1,150,000"
432,"$960,000"
433,"$565,000"
434,"$1,100,000"
435,"$715,000"
436,"$2,250,000"
437,"$300,000"
438,"$1,799,000"
439,"$789,900"
